	nG	nO	N	t
324	190414776.41651663	23430894.90701667	0.05179090914297781	29.566478323916197
325	190647245.0437853	23199547.419979114	0.051750280648853265	29.657732886644332
326	190877636.66760367	22970274.453639876	0.0517100420275844	29.74898744937247
327	191105964.83283007	22743061.800783396	0.05167021250445524	29.840242012100607
328	191332243.60757452	22517895.355995692	0.051630782572847596	29.931496574828742
329	191560080.29950178	22294950.924739763	0.051415764930110686	30.022751137556877
330	191785727.7690313	22073656.301526066	0.05122612618674276	30.114005700285016
331	192006516.6960472	21854130.054722574	0.05118046282183575	30.20526026301315
332	192225161.74141905	21636589.031001966	0.05114238782664785	30.296514825741287
333	192441812.7378061	21421030.348634873	0.05110505498883488	30.387769388469426
334	192656490.77259448	21207440.20677558	0.05106811566238507	30.47902395119756
335	192869210.07281137	20995804.623552833	0.051031549259935485	30.570278513925697
336	193079984.96110556	20786109.14984471	0.05099535245011218	30.661533076653832
337	193288829.53886855	20578339.57761764	0.050959521362473136	30.75278763938197
338	193495757.97412193	20372481.62549502	0.050924052620200694	30.844042202110106
339	193700784.73480508	20168520.713455204	0.05088894284408363	30.93529676483824
340	193907787.30164856	19966617.727210715	0.050666339964088494	31.02655132756638
341	194111941.53923562	19766227.14852947	0.0505060561156643	31.117805890294516
342	194311828.64399728	19567518.730163723	0.050466142743556014	31.20906045302265
343	194509747.64999405	19370650.164160438	0.05043230664800803	31.300315015750787
344	194705821.769404	19175615.50299596	0.05039908555310686	31.391569578478926
345	194900070.28580573	18982400.9543517	0.05036621695287521	31.48282414120706
346	195092507.0957075	18790992.855870754	0.05033368331874128	31.574078703935196
347	195283146.24641082	18601377.06048089	0.050301482615437494	31.665333266663335
348	195472001.58523285	18413539.659381825	0.05026961131153804	31.75658782939147
349	195659086.92237478	18227466.785057906	0.05023806586182025	31.847842392119606
350	195844416.12269828	18043144.507709634	0.05020684320333553	31.939096954847745
351	196032070.25932553	17860714.83588537	0.049979505456166994	32.03035151757588
352	196216358.5093777	17679672.889063265	0.0498442781410858	32.12160608030402
353	196396908.53212884	17500213.607429575	0.04980937071772106	32.21286064303215
354	196575658.654594	17322450.518282875	0.0497793293199446	32.30411520576029
355	196752710.22837514	17146375.68886578	0.04974980312626277	32.39536976848843
356	196928080.7111437	16971975.911652923	0.04972058948472596	32.48662433121656
357	197101783.8504931	16799237.689597778	0.04969167191036671	32.5778788939447
358	197273832.9868942	16628147.283229826	0.04966306418218647	32.66913345667283
359	197444241.71444178	16458691.40681253	0.049634747465876726	32.76038801940097
360	197613023.11339557	16290856.869046353	0.049606722591885026	32.85164258212911
361	197780190.59965295	16124630.136020102	0.04957899071620524	32.94289714485724
362	197949968.6920594	15960134.266598646	0.04934932898076717	33.03415170758538
363	198115986.06358665	15796912.296918476	0.04923537659101189	33.12540627031352
364	198278734.58392113	15635166.090280402	0.049204829268726887	33.21666083304165
365	198439842.62649563	15474976.42913773	0.04917817850454245	33.30791539576979
366	198599393.559295	15316334.319210716	0.04915196107764074	33.39916995849793
367	198757403.36700583	15159227.044477765	0.04912602149399062	33.49042452122606
368	198913885.15890437	15003641.547784785	0.04910035393425027	33.5816790839542
369	199068851.7943926	14849565.000632534	0.049074953725935185	33.67293364668234
370	199222315.89809865	14696984.796679746	0.04904981693731246	33.76418820941047
371	199374290.29797912	14545888.095685748	0.04902494108284504	33.85544277213861
372	199524787.81238854	14396262.001111597	0.04900032681139038	33.94669733486674
373	199678125.25315252	14248211.717918413	0.04877029384631407	34.03795189759488
374	199827410.301982	14101330.035365958	0.0486743903952788	34.12920646032302
375	199973841.79691145	13955814.360000815	0.04864764215585419	34.22046102305115
376	200118782.6088082	13811721.34883422	0.04862401596097212	34.31171558577929
377	200262301.45289993	13669041.465383526	0.04860075663726764	34.40297014850743
378	200404412.8823944	13527762.68255676	0.04857774437845259	34.49422471123556
379	200545129.39834183	13387872.851645399	0.048554960561443136	34.5854792739637
380	200684462.60733038	13249359.44883001	0.04853244562173435	34.67673383669184
381	200822425.3989705	13112210.621868555	0.04851014926778997	34.76798839941997
382	200959029.55069527	12976414.187380124	0.04848808836063788	34.85924296214811
383	201094286.74808127	12841958.511657424	0.048466258617418226	34.95049752487625
384	201232563.57240513	12708931.668346079	0.048237465722915124	35.04175208760438
385	201366583.93418455	12576975.776161939	0.048156804673851084	35.13300665033252
386	201498116.03194422	12446276.559554035	0.048133367887375586	35.22426121306066
387	201628297.19392404	12316873.033713458	0.04811243615781253	35.31551577578879
388	201757184.1218677	12188755.634086076	0.04809181536237062	35.40677033851693
389	201884790.1659033	12061912.974313658	0.048071412685861174	35.49802490124506
390	202011126.95992124	11936333.498736652	0.04805122306367216	35.5892794639732
391	202136205.56494683	11812005.865173385	0.048031258227310906	35.68053402670134
392	202260037.65186653	11688918.788202578	0.04801149895509026	35.77178858942947
393	202382634.41417754	11567061.040317021	0.04799194559525477	35.86304315215761
394	202504006.97023878	11446421.47752143	0.04797259816952154	35.95429771488575
395	202628533.99953967	11327074.789113786	0.047746325471815135	36.04555227761388
396	202748674.6573532	11208706.248295141	0.047678521802300824	36.13680684034202
397	202866647.51584157	11091487.865535563	0.047657974904150975	36.22806140307016
398	202983399.0084328	10975445.872505732	0.04763944114870021	36.31931596579829
