	Cx	Mu	v1	v2	v3	v4	v5	v6	vd	gR	gP1	gP2	gP3	gP4	gP5	gP6	gP	R	PSU	Tc	CB	Mc	Tn	Mq	Pq	Q
52	1.6600000000000001	1.6038417816162112e-05	1844999.441504479	1343859.028816223	447953.00960540766	223415.16017913815	446830.3203582763	1122.6892471313479	0.0	1.5181785823534808	1.0153985485233923	10.815638173263228	7.596874160027247	0.35832256854178013	3.009909575750953	0.00018006159223205037	44.683032035827644	94658.87469421039	63310.39384072926	674358.1753035624	473667.3060338772	22341.516017913815	187668.73455047605	11.226892471313478	2786000.0	70000000.0
53	1.69	1.607179641723633e-05	1848839.190602302	1346655.8218002312	448885.2739334104	223880.1240921019	447760.2481842038	1125.0257492065432	0.0	1.5213381631700336	1.0196293712277136	10.687119655599746	7.599700464930298	0.35981557762738686	3.0224508520700497	0.00018081184805396339	44.776024818420424	94658.8746942104	63442.15324518444	664961.1143741378	472859.4282578105	22388.01240921019	188059.3042373656	11.250257492065431	2786000.0000000005	70000000.0
54	1.72	1.6102790832519533e-05	1852404.671907424	1349252.8438568115	449750.9479522705	224311.87629699707	448623.75259399414	1127.1953582763672	0.0	1.5242720596425463	1.023565868221289	10.560204399732443	7.608172643293448	0.361204722526054	3.0341196692188537	0.00018150991081711257	44.86237525939942	94658.87469421039	63564.50126360712	655799.6380606364	472475.4064325774	22431.187629699707	188421.97608947754	11.271953582763672	2786000.0	70000000.0
55	1.75	1.6133785247802738e-05	1855970.1532125473	1351849.8659133918	450616.6219711306	224743.6285018922	449487.2570037844	1129.3649673461916	0.0	1.5272059561150595	1.0275099494254496	10.437860810017705	7.612301203506393	0.36259654380614875	3.0458109679716494	0.00018220931849555208	44.948725700378425	94658.87469421039	63686.84928202985	646956.7215442661	471823.6350978524	22474.36285018922	188784.64794158944	11.293649673461916	2786000.0	70000000.0
56	1.78	1.6162395477294923e-05	1859261.3667249682	1354247.1170425422	451415.7056808474	225142.1689987184	450284.3379974368	1131.3676834106445	0.0	1.5299141682435324	1.0311573713156068	10.316814160341547	7.62248729530872	0.3638836773973256	3.0566228901375347	0.00018285611929513837	45.02843379974366	94658.87469421036	63799.785914420034	638322.096179041	471618.65987110994	22514.21689987184	189119.42195892346	11.313676834106445	2786000.0	70000000.0
57	1.81	1.619100570678711e-05	1862552.5802373872	1356644.3681716914	452214.7893905638	225540.70949554438	451081.41899108875	1133.3703994750977	0.0	1.5326223803720063	1.0348112554917044	10.199972128374732	7.628712405240932	0.36517309145551724	3.067453968226345	0.00018350406605804892	45.10814189910889	94658.87469421039	63912.72254681016	629977.6748333185	471169.7681659794	22554.070949554436	189454.19597625727	11.333703994750977	2786000.0	70000000.0
58	1.84	1.621723175048828e-05	1865569.5259571085	1358841.8483734136	452947.28279113787	225906.03828430187	451812.07656860375	1135.2062225341797	0.0	1.5351049081564403	1.038166326258488	10.084164112442831	7.641358367949266	0.36635705766912013	3.077399284420609	0.00018409902395433164	45.18120765686035	94658.87469421039	64016.24779316791	621817.8458317468	471187.5914160994	22590.603828430187	189761.07215881356	11.352062225341797	2786000.0	70000000.0
59	1.87	1.624584197998047e-05	1868860.739469527	1361239.099502563	453746.3665008543	226304.57878112787	452609.15756225574	1137.2089385986328	0.0	1.5378131202849141	1.04183259648264	9.975165733618947	7.640172469434363	0.3676508426224244	3.088267078028365	0.000184749167146947	45.260915756225586	94658.87469421039	64129.184425558014	614013.4654708084	470284.7952632584	22630.457878112786	190095.8461761474	11.372089385986328	2786000.0	70000000.0
60	1.9	1.627206802368164e-05	1871877.6851892471	1363436.579704285	454478.8599014283	226669.90756988525	453339.8151397705	1139.0447616577148	0.0	1.5402956480693482	1.0451990211268063	9.86690167970039	7.645727515588406	0.3688388154898803	3.0982460501149944	0.00018534613843712577	45.33398151397705	94658.87469421039	64232.70967191573	606370.4788684845	469868.21247681335	22666.990756988525	190402.7223587036	11.390447616577148	2786000.0	70000000.0
61	1.93	1.6295909881591796e-05	1874620.3631162646	1365434.2889785767	455144.7629928589	227002.02465057373	454004.04930114746	1140.7136917114258	0.0	1.5425524915097426	1.0482641192504558	9.759309080122907	7.658174203444533	0.36992045366446286	3.107331810781488	0.0001858896752082728	45.40040493011474	94658.87469421039	64326.82353224088	598880.8941038161	469944.5602663383	22700.202465057373	190681.70070648193	11.407136917114258	2786000.0	70000000.0
62	1.96	1.632213592529297e-05	1877637.308835983	1367631.7691802979	455877.2563934326	227367.35343933105	454734.7068786621	1142.549514770508	0.0	1.545035019294177	1.0516409104783193	9.657972216427881	7.657221965949465	0.371112084781089	3.1173415121611474	0.0001864884848146176	45.47347068786622	94658.87469421039	64430.348778598534	591710.0715637207	469131.1235855931	22736.735343933105	190988.5768890381	11.42549514770508	2786000.0	70000000.0
63	1.99	1.6345977783203126e-05	1880379.9867629996	1369629.47845459	456543.15948486334	227699.4705200196	455398.9410400392	1144.2184448242188	0.0	1.5472918627345718	1.0547154327689663	9.557059852070337	7.663431206770274	0.37219704863673553	3.1264552085485784	0.0001870336927822791	45.53989410400391	94658.8746942104	64524.46263892366	584673.4884156655	468826.72351635626	22769.94705200196	191267.55523681646	11.442184448242188	2786000.0000000005	70000000.0
64	2.02	1.6367435455322267e-05	1882848.396897317	1371427.4168014533	457142.4722671511	227998.37589263922	455996.75178527844	1145.7204818725586	0.0	1.5493230218309268	1.057486339812828	9.456526741069169	7.676928913630147	0.3731748701341077	3.1346689091265048	0.0001875250603688983	45.59967517852784	94658.87469421039	64609.16511321636	577764.7186623944	469036.7611093165	22799.837589263923	191518.63574981695	11.457204818725586	2786000.0	70000000.0
65	2.05	1.6391277313232425e-05	1885591.0748243337	1373425.126075745	457808.3753585817	228330.49297332767	456660.98594665533	1147.3894119262698	0.0	1.5515798652713217	1.0605693887307595	9.361777450816879	7.677394686983265	0.37426284293928813	3.1438078806900207	0.0001880717803715016	45.666098594665534	94658.87469421039	64703.2789735415	571143.8634046696	468382.94174825674	22833.049297332767	191797.61409759524	11.473894119262697	2786000.0	70000000.0
66	2.08	1.6412734985351563e-05	1888059.484958649	1375223.0644226072	458407.6881408691	228629.39834594724	457258.7966918945	1148.8914489746094	0.0	1.5536110243676766	1.063347969739175	9.267202227693778	7.685377725767695	0.3752433724912407	3.1520443289264217	0.0001885645087895682	45.72587966918945	94658.87469421039	64787.98144783412	564634.8543350511	468256.9804866116	22862.939834594723	192048.69461059567	11.488914489746094	2786000.0	70000000.0
